Entry	yourlist:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	Entry name	Gene ontology IDs	Status	Protein names	Gene names	Organism	Length	isomap:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	yourlist:M201803118A530B6CA0138AFAA6D2B97CE8C2A9240BFF3DO	Annotation
A0A0B4K7D0	AE013599	A0A0B4K7D0_DROME	GO:0009267; GO:0042593; GO:0050848; GO:0070328; GO:0071322; GO:0090278	unreviewed	Limostatin, isoform C	Lst CG8317 Dmel_CG8317	Drosophila melanogaster (Fruit fly)	120		AE013599	2 out of 5
A0A0B4K7D4	AE013599	A0A0B4K7D4_DROME	GO:0003777; GO:0005524; GO:0007018; GO:0008017	unreviewed	Unc-104 ortholog, isoform G	unc-104 CG8566 Dmel_CG8566	Drosophila melanogaster (Fruit fly)	1681		AE013599	2 out of 5
A0A0B4K7D8	AE013599	A0A0B4K7D8_DROME	GO:0016311; GO:0046030; GO:0046856	unreviewed	CG6805, isoform B	CG6805 Dmel_CG6805	Drosophila melanogaster (Fruit fly)	348		AE013599	1 out of 5
A0A0B4K7E3	AE013599	A0A0B4K7E3_DROME	GO:0005524; GO:0007603; GO:0008582; GO:0010513; GO:0016308; GO:0016310; GO:0035997; GO:0071482	unreviewed	Phosphatidylinositol 4-phosphate 5-kinase at 59B, isoform F (EC 2.7.1.68)	PIP5K59B CG3682 Dmel_CG3682	Drosophila melanogaster (Fruit fly)	777		AE013599	2 out of 5
A0A0B4K7E5	AE013599	A0A0B4K7E5_DROME		unreviewed	Uncharacterized protein, isoform A (Uncharacterized protein, isoform B)	CG43272 Dmel_CG43272	Drosophila melanogaster (Fruit fly)	57		AE013599	1 out of 5
A0A0B4K7E8	AE013599	A0A0B4K7E8_DROME	GO:0016021	unreviewed	Uncharacterized protein	CG43207 Dmel_CG43207	Drosophila melanogaster (Fruit fly)	73		AE013599	1 out of 5
A0A0B4K7F6	AE013599	A0A0B4K7F6_DROME		unreviewed	Grainy head, isoform O	grh CG42311 Dmel_CG42311	Drosophila melanogaster (Fruit fly)	698		AE013599	1 out of 5
A0A0B4K7G1	AE013599	A0A0B4K7G1_DROME		unreviewed	CG5174, isoform N	CG5174 Dmel_CG5174	Drosophila melanogaster (Fruit fly)	222		AE013599	1 out of 5
A0A0B4K7G9	AE013599	A0A0B4K7G9_DROME	GO:0000287; GO:0004427; GO:0005737; GO:0006796	unreviewed	Nucleosome remodeling factor-38kD, isoform C (EC 3.6.1.1)	Nurf-38 CG4634 Dmel_CG4634	Drosophila melanogaster (Fruit fly)	290		AE013599	1 out of 5
A0A0B4K7H0	AE013599	A0A0B4K7H0_DROME		unreviewed	Lethal (2) k14710, isoform B	l(2)k14710 CG8325 Dmel_CG8325	Drosophila melanogaster (Fruit fly)	851		AE013599	1 out of 5
A0A0B4K7H1	AE013599	A0A0B4K7H1_DROME	GO:0003756; GO:0005623; GO:0045454	unreviewed	Lethal (2) 01289, isoform M (EC 5.3.4.1)	l(2)01289 CG9432 Dmel_CG9432	Drosophila melanogaster (Fruit fly)	1193		AE013599	1 out of 5
A0A0B4K7H4	AE013599	A0A0B4K7H4_DROME	GO:0003779; GO:0005543; GO:0007009; GO:0007298; GO:0008354; GO:0017124; GO:0042803; GO:0043234; GO:0046847; GO:0048261	unreviewed	Missing-in-metastasis, isoform I	mim CG33558 Dmel_CG33558	Drosophila melanogaster (Fruit fly)	1934		AE013599	3 out of 5
A0A0B4K7H5	AE013599	A0A0B4K7H5_DROME	GO:0002168; GO:0004222; GO:0007155; GO:0007419; GO:0007424; GO:0007505; GO:0007561; GO:0007591; GO:0008270; GO:0030198; GO:0030425; GO:0031012; GO:0034769; GO:0035001; GO:0035159; GO:0042060; GO:0042246; GO:0045216; GO:0071711; GO:0097156	unreviewed	Matrix metalloproteinase (EC 3.4.24.-)	Mmp1 CG4859 Dmel_CG4859	Drosophila melanogaster (Fruit fly)	512		AE013599	5 out of 5
A0A0B4K7H7	AE013599	A0A0B4K7H7_DROME	GO:0003823; GO:0005887; GO:0006909; GO:0007411; GO:0007413; GO:0007419; GO:0007422; GO:0008046; GO:0016319; GO:0021551; GO:0030424; GO:0030425; GO:0032490; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0048666; GO:0048814; GO:0048846; GO:0050770; GO:0050976; GO:0070593	unreviewed	Down syndrome cell adhesion molecule 1, isoform BY (Fragment)	Dscam1 CG17800 Dmel_CG17800	Drosophila melanogaster (Fruit fly)	2020		AE013599	5 out of 5
A0A0B4K7H8	AE013599	A0A0B4K7H8_DROME	GO:0003729; GO:0005654; GO:0006397; GO:0007411; GO:0008340; GO:0008343	unreviewed	Smooth, isoform K	sm CG9218 Dmel_CG9218	Drosophila melanogaster (Fruit fly)	535		AE013599	2 out of 5
A0A0B4K7H9	AE013599	A0A0B4K7H9_DROME	GO:0003823; GO:0005887; GO:0006909; GO:0007411; GO:0007413; GO:0007419; GO:0007422; GO:0008046; GO:0016319; GO:0021551; GO:0030424; GO:0030425; GO:0032490; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0048666; GO:0048814; GO:0048846; GO:0050770; GO:0050976; GO:0070593	unreviewed	Down syndrome cell adhesion molecule 1, isoform BI	Dscam1 CG17800 Dmel_CG17800	Drosophila melanogaster (Fruit fly)	2030		AE013599	5 out of 5
A0A0B4K7I0	AE013599	A0A0B4K7I0_DROME		unreviewed	Rhythmically expressed gene 5, isoform B	Reg-5 CG2928 Dmel_CG2928	Drosophila melanogaster (Fruit fly)	182		AE013599	1 out of 5
A0A0B4K7I2	AE013599	A0A0B4K7I2_DROME	GO:0003729; GO:0005654; GO:0007411; GO:0008340; GO:0008343	unreviewed	Smooth, isoform T	sm CG9218 Dmel_CG9218	Drosophila melanogaster (Fruit fly)	552		AE013599	2 out of 5
A0A0B4K7I3	AE013599	A0A0B4K7I3_DROME	GO:0003823; GO:0005887; GO:0006909; GO:0007411; GO:0007413; GO:0007419; GO:0007422; GO:0008046; GO:0016319; GO:0021551; GO:0030424; GO:0030425; GO:0032490; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0048666; GO:0048814; GO:0048846; GO:0050770; GO:0050976; GO:0070593	unreviewed	Down syndrome cell adhesion molecule 1, isoform BN	Dscam1 CG17800 Dmel_CG17800	Drosophila melanogaster (Fruit fly)	2036		AE013599	5 out of 5
A0A0B4K7I5	AE013599	A0A0B4K7I5_DROME	GO:0003823; GO:0005887; GO:0006909; GO:0007411; GO:0007413; GO:0007419; GO:0007422; GO:0008046; GO:0016319; GO:0021551; GO:0030424; GO:0030425; GO:0032490; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0048666; GO:0048814; GO:0048846; GO:0050770; GO:0050976; GO:0070593	unreviewed	Down syndrome cell adhesion molecule 1, isoform BT	Dscam1 CG17800 Dmel_CG17800	Drosophila melanogaster (Fruit fly)	2016		AE013599	5 out of 5
A0A0B4K7I6	AE013599	A0A0B4K7I6_DROME	GO:0003729; GO:0005654; GO:0006397; GO:0007411; GO:0008340; GO:0008343	unreviewed	Smooth, isoform Z	sm CG9218 Dmel_CG9218	Drosophila melanogaster (Fruit fly)	491		AE013599	2 out of 5
A0A0B4K7I8	AE013599	A0A0B4K7I8_DROME	GO:0001518; GO:0005244; GO:0005248; GO:0034765	unreviewed	Sodium channel protein	NaCP60E CG34405 Dmel_CG34405	Drosophila melanogaster (Fruit fly)	2608		AE013599	2 out of 5
A0A0B4K7I9	AE013599	A0A0B4K7I9_DROME		unreviewed	Uncharacterized protein	CG43267 Dmel_CG43267	Drosophila melanogaster (Fruit fly)	82		AE013599	1 out of 5
A0A0B4K7J3	AE013599	A0A0B4K7J3_DROME	GO:0001745; GO:0004672; GO:0004702; GO:0005025; GO:0005524; GO:0005886; GO:0005887; GO:0006468; GO:0007015; GO:0007179; GO:0007300; GO:0007304; GO:0007448; GO:0007476; GO:0008101; GO:0008358; GO:0009953; GO:0030509; GO:0030512; GO:0030514; GO:0030707; GO:0030718; GO:0035222; GO:0042078; GO:0045824; GO:0045887; GO:0048477; GO:0050829	unreviewed	Receptor protein serine/threonine kinase (EC 2.7.11.30)	sax CG1891 Dmel_CG1891	Drosophila melanogaster (Fruit fly)	582		AE013599	5 out of 5
A0A0B4K7J7	AE013599	A0A0B4K7J7_DROME		unreviewed	Uncharacterized protein, isoform B	CG13428 Dmel_CG13428	Drosophila melanogaster (Fruit fly)	89		AE013599	1 out of 5
A0A0B4K7K0	AE013599	A0A0B4K7K0_DROME	GO:0005219; GO:0005623; GO:0016021	unreviewed	Ryanodine receptor, isoform F	RyR CG10844 Dmel_CG10844	Drosophila melanogaster (Fruit fly)	5119		AE013599	1 out of 5
A0A0B4K7K5	AE013599	A0A0B4K7K5_DROME	GO:0016021	unreviewed	Uncharacterized protein	CG43393 Dmel_CG43393	Drosophila melanogaster (Fruit fly)	127		AE013599	1 out of 5
A0A0B4K7K7	AE013599	A0A0B4K7K7_DROME	GO:0008195	unreviewed	Wunen, isoform C (EC 3.1.3.-) (EC 3.1.3.4) (EC 3.1.3.41)	wun CG8804 Dmel_CG8804	Drosophila melanogaster (Fruit fly)	364		AE013599	1 out of 5
A0A0B4K7K9	AE013599	A0A0B4K7K9_DROME	GO:0007268; GO:0007269; GO:0007274; GO:0007614; GO:0007615; GO:0008344; GO:0031594; GO:0048167; GO:0048786; GO:0048788; GO:0048789; GO:0048790	unreviewed	Bruchpilot, isoform J	brp CG42344 Dmel_CG42344	Drosophila melanogaster (Fruit fly)	2238		AE013599	4 out of 5
A0A0B4K7L0	AE013599	A0A0B4K7L0_DROME	GO:0000723; GO:0006281; GO:0016887; GO:0030870; GO:0046872	unreviewed	Rad50, isoform E (EC 3.6.1.3)	rad50 CG6339 Dmel_CG6339	Drosophila melanogaster (Fruit fly)	1318		AE013599	2 out of 5
A0A0B4K7L1	AE013599	A0A0B4K7L1_DROME	GO:0003872; GO:0005524; GO:0005737; GO:0006002; GO:0046872	unreviewed	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase)	Pfk CG4001 Dmel_CG4001	Drosophila melanogaster (Fruit fly)	950		AE013599	3 out of 5
A0A0B4K7L3	AE013599	A0A0B4K7L3_DROME	GO:0007015; GO:0007605; GO:0016203; GO:0050954	unreviewed	CAP, isoform X	CAP CG18408 Dmel_CG18408	Drosophila melanogaster (Fruit fly)	2505		AE013599	2 out of 5
A0A0B4K7L9	AE013599	A0A0B4K7L9_DROME		unreviewed	Uncharacterized protein, isoform A (Uncharacterized protein, isoform B)	CG43397 Dmel_CG43397	Drosophila melanogaster (Fruit fly)	40		AE013599	1 out of 5
A0A0B4K7M0	AE013599	A0A0B4K7M0_DROME	GO:0005524; GO:0007603; GO:0008582; GO:0010513; GO:0016308; GO:0016310; GO:0035997; GO:0071482	unreviewed	Phosphatidylinositol 4-phosphate 5-kinase at 59B, isoform H (EC 2.7.1.68)	PIP5K59B CG3682 Dmel_CG3682	Drosophila melanogaster (Fruit fly)	756		AE013599	2 out of 5
A0A0B4K7M1	AE013599	A0A0B4K7M1_DROME	GO:0004497; GO:0005506; GO:0016705; GO:0020037	unreviewed	Cyp49a1, isoform E (EC 1.14.-.-)	Cyp49a1 CG18377 Dmel_CG18377	Drosophila melanogaster (Fruit fly)	589		AE013599	1 out of 5
A0A0B4K7M3	AE013599	A0A0B4K7M3_DROME		unreviewed	Uncharacterized protein	CG43189 Dmel_CG43189	Drosophila melanogaster (Fruit fly)	58		AE013599	1 out of 5
A0A0B4K7M5	AE013599	A0A0B4K7M5_DROME	GO:0000785; GO:0003682; GO:0005634; GO:0051276	unreviewed	Heterochromatin protein 1L chromoshadow domain	HP1Lcsd CG43352 Dmel_CG43352	Drosophila melanogaster (Fruit fly)	83		AE013599	1 out of 5
A0A0B4K7M8	AE013599	A0A0B4K7M8_DROME		unreviewed	Uncharacterized protein, isoform A	CG43315 Dmel_CG43315	Drosophila melanogaster (Fruit fly)	120		AE013599	1 out of 5
A0A0B4K7M9	AE013599	A0A0B4K7M9_DROME	GO:0005524; GO:0006457; GO:0009408; GO:0031072; GO:0046872; GO:0051082	unreviewed	Lethal (2) tumorous imaginal discs, isoform D	l(2)tid CG5504 Dmel_CG5504	Drosophila melanogaster (Fruit fly)	514		AE013599	2 out of 5
A0A0B4K7N0	AE013599	A0A0B4K7N0_DROME	GO:0000137; GO:0000902; GO:0002064; GO:0005086; GO:0005801; GO:0007030; GO:0007431; GO:0009306; GO:0032012; GO:0032940; GO:0035149; GO:0035158; GO:0043087	unreviewed	Gartenzwerg, isoform C	garz CG8487 Dmel_CG8487	Drosophila melanogaster (Fruit fly)	1741		AE013599	4 out of 5
A0A0B4K7N3	AE013599	A0A0B4K7N3_DROME	GO:0005576; GO:0005615; GO:0032504; GO:0045434; GO:0046693	unreviewed	Antares, isoform B	antr CG30488 Dmel_CG30488	Drosophila melanogaster (Fruit fly)	272		AE013599	2 out of 5
A0A0B4K7N9	AE013599	A0A0B4K7N9_DROME	GO:0005815	unreviewed	Centrosomin, isoform M (Centrosomin, isoform N)	cnn CG4832 Dmel_CG4832	Drosophila melanogaster (Fruit fly)	1120		AE013599	1 out of 5
A0A0B4K7P2	AE013599	A0A0B4K7P2_DROME	GO:0016021	unreviewed	Uncharacterized protein	CG43192 Dmel_CG43192	Drosophila melanogaster (Fruit fly)	170		AE013599	1 out of 5
A0A0B4K7P4	AE013599	A0A0B4K7P4_DROME	GO:0007274; GO:0007528; GO:0045202; GO:0045886; GO:0048488; GO:0048786; GO:0050965; GO:0097352	unreviewed	Straightjacket, isoform D	stj CG12295 Dmel_CG12295	Drosophila melanogaster (Fruit fly)	1237		AE013599	3 out of 5
A0A0B4K7P8	AE013599	A0A0B4K7P8_DROME	GO:0000226; GO:0000235; GO:0001578; GO:0003779; GO:0005509; GO:0005737; GO:0005856; GO:0005874; GO:0005912; GO:0005927; GO:0007017; GO:0007026; GO:0007409; GO:0007423; GO:0007424; GO:0007475; GO:0008017; GO:0008092; GO:0016199; GO:0016203; GO:0016204; GO:0016319; GO:0030036; GO:0030175; GO:0030426; GO:0030516; GO:0030716; GO:0035147; GO:0035149; GO:0035371; GO:0044295; GO:0045169; GO:0045773; GO:0048813; GO:0051491	unreviewed	Short stop, isoform Z	shot CG18076 Dmel_CG18076	Drosophila melanogaster (Fruit fly)	5394		AE013599	5 out of 5
A0A0B4K7Q4	AE013599	A0A0B4K7Q4_DROME	GO:0003774; GO:0005524; GO:0016459; GO:0016887; GO:0051015	unreviewed	Zipper, isoform I (EC 3.6.1.3)	zip CG15792 Dmel_CG15792	Drosophila melanogaster (Fruit fly)	2024		AE013599	2 out of 5
A0A0B4K7Q5	AE013599	A0A0B4K7Q5_DROME		unreviewed	Drosocin, isoform B	Dro CG10816 Dmel_CG10816	Drosophila melanogaster (Fruit fly)	64		AE013599	1 out of 5
A0A0B4K7Q9	AE013599	A0A0B4K7Q9_DROME	GO:0000981; GO:0003676; GO:0040034	unreviewed	Charlatan, isoform I	chn CG11798 Dmel_CG11798	Drosophila melanogaster (Fruit fly)	572		AE013599	1 out of 5
A0A0B4K7R0	AE013599	A0A0B4K7R0_DROME	GO:0016021	unreviewed	Uncharacterized protein, isoform H	CG12963 Dmel_CG12963	Drosophila melanogaster (Fruit fly)	197		AE013599	1 out of 5
A0A0B4K7R5	AE013599	A0A0B4K7R5_DROME		unreviewed	Myelodysplasia/myeloid leukemia factor, isoform F	Mlf CG8295 Dmel_CG8295	Drosophila melanogaster (Fruit fly)	308		AE013599	1 out of 5
A0A0B4K7S5	AE013599	A0A0B4K7S5_DROME	GO:0004672; GO:0005524	unreviewed	Ste20-like kinase, isoform C (EC 2.7.11.-)	Stlk CG40293 Dmel_CG40293	Drosophila melanogaster (Fruit fly)	346		AE013599	1 out of 5
A0A0B4K7T1	AE013599	A0A0B4K7T1_DROME	GO:0003779; GO:0005543; GO:0007009; GO:0007298; GO:0008354; GO:0017124; GO:0042803; GO:0043234; GO:0046847; GO:0048261	unreviewed	Missing-in-metastasis, isoform J	mim CG33558 Dmel_CG33558	Drosophila melanogaster (Fruit fly)	1868		AE013599	3 out of 5
A0A0B4K7T3	AE013599	A0A0B4K7T3_DROME		unreviewed	CG5550, isoform B	CG5550 Dmel_CG5550	Drosophila melanogaster (Fruit fly)	250		AE013599	1 out of 5
A0A0B4K7T4	AE013599	A0A0B4K7T4_DROME	GO:0003823; GO:0005887; GO:0006909; GO:0007411; GO:0007413; GO:0007419; GO:0007422; GO:0008046; GO:0016319; GO:0021551; GO:0030424; GO:0030425; GO:0032490; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0048666; GO:0048814; GO:0048846; GO:0050770; GO:0050976; GO:0070593	unreviewed	Down syndrome cell adhesion molecule 1, isoform BZ (Fragment)	Dscam1 CG17800 Dmel_CG17800	Drosophila melanogaster (Fruit fly)	2035		AE013599	5 out of 5
A0A0B4K7T5	AE013599	A0A0B4K7T5_DROME	GO:0003823; GO:0005887; GO:0006909; GO:0007411; GO:0007413; GO:0007419; GO:0007422; GO:0008046; GO:0016319; GO:0021551; GO:0030424; GO:0030425; GO:0032490; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0048666; GO:0048814; GO:0048846; GO:0050770; GO:0050976; GO:0070593	unreviewed	Down syndrome cell adhesion molecule 1, isoform BJ	Dscam1 CG17800 Dmel_CG17800	Drosophila melanogaster (Fruit fly)	2033		AE013599	5 out of 5
A0A0B4K7T6	AE013599	A0A0B4K7T6_DROME	GO:0003823; GO:0005887; GO:0006909; GO:0007411; GO:0007413; GO:0007419; GO:0007422; GO:0008046; GO:0016319; GO:0021551; GO:0030424; GO:0030425; GO:0032490; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0048666; GO:0048814; GO:0048846; GO:0050770; GO:0050976; GO:0070593	unreviewed	Down syndrome cell adhesion molecule 1, isoform BO	Dscam1 CG17800 Dmel_CG17800	Drosophila melanogaster (Fruit fly)	2019		AE013599	5 out of 5
A0A0B4K7T7	AE013599	A0A0B4K7T7_DROME	GO:0005089; GO:0005826; GO:0007015; GO:0007277; GO:0007349; GO:0007369; GO:0007370; GO:0007374; GO:0007375; GO:0007377; GO:0008360; GO:0016324; GO:0016328; GO:0016331; GO:0016476; GO:0030478; GO:0030589; GO:0031532; GO:0035025; GO:0035277; GO:0035556; GO:0043519; GO:0045177; GO:0045178; GO:0045179; GO:0046872; GO:0050770; GO:0070252; GO:0090254	unreviewed	Rho guanine nucleotide exchange factor 2, isoform G	RhoGEF2 CG9635 Dmel_CG9635	Drosophila melanogaster (Fruit fly)	2557		AE013599	5 out of 5
A0A0B4K7T8	AE013599	A0A0B4K7T8_DROME	GO:0003823; GO:0005887; GO:0006909; GO:0007411; GO:0007413; GO:0007419; GO:0007422; GO:0008046; GO:0016319; GO:0021551; GO:0030424; GO:0030425; GO:0032490; GO:0042802; GO:0042803; GO:0043005; GO:0043025; GO:0048666; GO:0048814; GO:0048846; GO:0050770; GO:0050976; GO:0070593	unreviewed	Down syndrome cell adhesion molecule 1, isoform BU	Dscam1 CG17800 Dmel_CG17800	Drosophila melanogaster (Fruit fly)	2034		AE013599	5 out of 5
A0A0B4K7U0	AE013599	A0A0B4K7U0_DROME	GO:0016021	unreviewed	Uncharacterized protein, isoform M	CG43340 Dmel_CG43340	Drosophila melanogaster (Fruit fly)	3213		AE013599	1 out of 5
A0A0B4K7U2	AE013599	A0A0B4K7U2_DROME		unreviewed	Uncharacterized protein, isoform G	CG43340 Dmel_CG43340	Drosophila melanogaster (Fruit fly)	847		AE013599	1 out of 5
A0A0B4K7U3	AE013599	A0A0B4K7U3_DROME	GO:0005634; GO:0008168; GO:0051864	unreviewed	Lysine (K)-specific demethylase 4A, isoform B (EC 1.14.11.27)	Kdm4A CG15835 Dmel_CG15835	Drosophila melanogaster (Fruit fly)	489		AE013599	1 out of 5
A0A0B4K7U4	AE013599	A0A0B4K7U4_DROME	GO:0046872	unreviewed	Mbl, isoform H	mbl CG33197 Dmel_CG33197	Drosophila melanogaster (Fruit fly)	951		AE013599	1 out of 5
A0A0B4K7U5	AE013599	A0A0B4K7U5_DROME		unreviewed	Lingerer, isoform H	lig CG8715 Dmel_CG8715	Drosophila melanogaster (Fruit fly)	1330		AE013599	1 out of 5
A0A0B4K7U8	AE013599	A0A0B4K7U8_DROME	GO:0016021; GO:0030246	unreviewed	Calcium-independent receptor for alpha-latrotoxin, isoform F (Calcium-independent receptor for alpha-latrotoxin, isoform K)	Cirl CG8639 Dmel_CG8639	Drosophila melanogaster (Fruit fly)	932		AE013599	1 out of 5
A0A0B4K7U9	AE013599	A0A0B4K7U9_DROME	GO:0005219; GO:0005623; GO:0016021	unreviewed	Ryanodine receptor, isoform G	RyR CG10844 Dmel_CG10844	Drosophila melanogaster (Fruit fly)	5123		AE013599	1 out of 5
A0A0B4K7V2	AE013599	A0A0B4K7V2_DROME	GO:0003333; GO:0015171; GO:0016021	unreviewed	Uncharacterized protein, isoform B	CG13743 Dmel_CG13743	Drosophila melanogaster (Fruit fly)	508		AE013599	1 out of 5
A0A0B4K7V3	AE013599	A0A0B4K7V3_DROME	GO:0000213; GO:0006388; GO:0016829	unreviewed	Uncharacterized protein, isoform B (EC 4.6.1.16)	CG30343 Dmel_CG30343	Drosophila melanogaster (Fruit fly)	113		AE013599	1 out of 5
A0A0B4K7V4	AE013599	A0A0B4K7V4_DROME	GO:0005215; GO:0005326; GO:0005328; GO:0005887; GO:0006836; GO:0016021	unreviewed	Transporter	CG43066 Dmel_CG43066	Drosophila melanogaster (Fruit fly)	721		AE013599	2 out of 5
A0A0B4K7V5	AE013599	A0A0B4K7V5_DROME	GO:0004740	unreviewed	Pyruvate dehydrogenase kinase, isoform C (EC 2.7.11.2)	Pdk CG8808 Dmel_CG8808	Drosophila melanogaster (Fruit fly)	413		AE013599	1 out of 5
A0A0B4K7V7	AE013599	A0A0B4K7V7_DROME	GO:0016021	unreviewed	Uncharacterized protein, isoform A	CG43070 Dmel_CG43070	Drosophila melanogaster (Fruit fly)	126		AE013599	1 out of 5
A0A0B4K7V8	AE013599	A0A0B4K7V8_DROME	GO:0007268; GO:0007269; GO:0007274; GO:0007614; GO:0007615; GO:0008344; GO:0031594; GO:0048167; GO:0048786; GO:0048788; GO:0048789; GO:0048790	unreviewed	Bruchpilot, isoform K	brp CG42344 Dmel_CG42344	Drosophila melanogaster (Fruit fly)	1707		AE013599	4 out of 5
A0A0B4K7W2	AE013599	A0A0B4K7W2_DROME	GO:0007015; GO:0007605; GO:0016203; GO:0050954	unreviewed	CAP, isoform U	CAP CG18408 Dmel_CG18408	Drosophila melanogaster (Fruit fly)	674		AE013599	2 out of 5
A0A0B4K7W3	AE013599	A0A0B4K7W3_DROME	GO:0003729; GO:0005654; GO:0006397; GO:0007411; GO:0008340; GO:0008343	unreviewed	Smooth, isoform L	sm CG9218 Dmel_CG9218	Drosophila melanogaster (Fruit fly)	492		AE013599	2 out of 5
A0A0B4K7W7	AE013599	A0A0B4K7W7_DROME	GO:0003729; GO:0005654; GO:0006397; GO:0007411; GO:0008340; GO:0008343	unreviewed	Smooth, isoform V	sm CG9218 Dmel_CG9218	Drosophila melanogaster (Fruit fly)	540		AE013599	2 out of 5
A0A0B4K7X0	AE013599	A0A0B4K7X0_DROME		unreviewed	Uncharacterized protein	CG43111 Dmel_CG43111	Drosophila melanogaster (Fruit fly)	141		AE013599	1 out of 5
A0A0B4K7X1	AE013599	A0A0B4K7X1_DROME	GO:0005104; GO:0007498; GO:0007523; GO:0007526; GO:0008083; GO:0008543; GO:0010001; GO:0021782; GO:0051451	unreviewed	Thisbe, isoform B	ths CG12443 Dmel_CG12443	Drosophila melanogaster (Fruit fly)	737		AE013599	3 out of 5
A0A0B4K7X4	AE013599	A0A0B4K7X4_DROME		unreviewed	Uncharacterized protein, isoform B	CG43315 Dmel_CG43315	Drosophila melanogaster (Fruit fly)	102		AE013599	1 out of 5
A0A0B4K7X5	AE013599	A0A0B4K7X5_DROME	GO:0005829; GO:0005978; GO:0008466; GO:0102751	unreviewed	Glycogenin, isoform D (EC 2.4.1.186)	Glycogenin CG44244 Dmel_CG44244	Drosophila melanogaster (Fruit fly)	545		AE013599	1 out of 5
A0A0B4K7X6	AE013599	A0A0B4K7X6_DROME		unreviewed	Uncharacterized protein	CG43204 Dmel_CG43204	Drosophila melanogaster (Fruit fly)	61		AE013599	1 out of 5
A0A0B4K7X8	AE013599	A0A0B4K7X8_DROME	GO:0016021	unreviewed	Uncharacterized protein, isoform F	CG17574 Dmel_CG17574	Drosophila melanogaster (Fruit fly)	162		AE013599	1 out of 5
A0A0B4K7X9	AE013599	A0A0B4K7X9_DROME		unreviewed	Uncharacterized protein, isoform B	CG13488 Dmel_CG13488	Drosophila melanogaster (Fruit fly)	198		AE013599	1 out of 5
A0A0B4K7Y0	AE013599	A0A0B4K7Y0_DROME	GO:0000287; GO:0004012; GO:0005524; GO:0016021; GO:0045332	unreviewed	Phospholipid-transporting ATPase (EC 3.6.3.1)	CG42321 Dmel_CG42321	Drosophila melanogaster (Fruit fly)	1127		AE013599	2 out of 5
A0A0B4K7Y4	AE013599	A0A0B4K7Y4_DROME	GO:0004307; GO:0008654; GO:0016021	unreviewed	Bb in a boxcar, isoform C (EC 2.7.8.1)	bbc CG6016 Dmel_CG6016	Drosophila melanogaster (Fruit fly)	417		AE013599	1 out of 5
A0A0B4K7Y9	AE013599	A0A0B4K7Y9_DROME	GO:0000226; GO:0000235; GO:0001578; GO:0003779; GO:0005509; GO:0005737; GO:0005856; GO:0005874; GO:0005912; GO:0005927; GO:0007017; GO:0007026; GO:0007409; GO:0007423; GO:0007424; GO:0007475; GO:0008017; GO:0008092; GO:0016199; GO:0016203; GO:0016204; GO:0016319; GO:0030036; GO:0030175; GO:0030426; GO:0030516; GO:0030716; GO:0035147; GO:0035149; GO:0035371; GO:0044295; GO:0045169; GO:0045773; GO:0048813; GO:0051491	unreviewed	Short stop, isoform AA	shot CG18076 Dmel_CG18076	Drosophila melanogaster (Fruit fly)	5408		AE013599	5 out of 5
A0A0B4K7Z0	AE013599	A0A0B4K7Z0_DROME	GO:0014069; GO:0030160; GO:0031594; GO:0051124; GO:0097107; GO:1990255; GO:2000050	unreviewed	Prosap, isoform D	Prosap CG30483 Dmel_CG30483	Drosophila melanogaster (Fruit fly)	1806		AE013599	2 out of 5
A0A0B4K7Z1	AE013599	A0A0B4K7Z1_DROME	GO:0016021	unreviewed	Nahoda, isoform C	nahoda CG12781 Dmel_CG12781	Drosophila melanogaster (Fruit fly)	1148		AE013599	1 out of 5
A0A0B4K7Z5	AE013599	A0A0B4K7Z5_DROME	GO:0043248	unreviewed	Regulatory particle non-ATPase 6, isoform C	Rpn6 CG10149 Dmel_CG10149	Drosophila melanogaster (Fruit fly)	422		AE013599	1 out of 5
A0A0B4K7Z6	AE013599	A0A0B4K7Z6_DROME	GO:0003676	unreviewed	Charlatan, isoform E	chn CG11798 Dmel_CG11798	Drosophila melanogaster (Fruit fly)	1283		AE013599	1 out of 5
A0A0B4K800	AE013599	A0A0B4K800_DROME	GO:0016021	unreviewed	Uncharacterized protein, isoform I	CG12963 Dmel_CG12963	Drosophila melanogaster (Fruit fly)	179		AE013599	1 out of 5
A0A0B4K807	AE013599	A0A0B4K807_DROME		unreviewed	Myelodysplasia/myeloid leukemia factor, isoform G	Mlf CG8295 Dmel_CG8295	Drosophila melanogaster (Fruit fly)	288		AE013599	1 out of 5
